,session_id,order_id,order_title
0,204,1,اعلام رسميت جلسه و قرائت دستور
1,204,2,تلاوت آياتي از قرآن مجيد
2,204,3,بيانات رئيس محترم مجلس شوراي اسلامي درخصوص خروج آمريكا از برجام
3,204,4,ارجاع طرح تشكيل وزارت ميراث فرهنگي، گردشگري و صنايع دستي به كميسيون مربوطه
4,204,5,ادامه رسيدگي به لايحه اصلاح قانون مبارزه با پولشويي
5,204,6,قرائت بيانيه نمايندگان مجلس شوراي اسلامي درخصوص الزام دولت به اجراي برنامه اقدام متناسب و متقابل با خروج آمريكا از برجام
6,204,7,ناطقين جلسه آقايان: احمد همتي، سيدجواد حسيني‌كيا، همايون يوسفي، عليرضا سليمي و فردين فرمند
7,204,8,تذكرات كتبي نمايندگان مجلس به مسئولان اجرايي كشور
8,204,9,تذكر آيين‌نامه‌اي و اخطار قانون اساسي نمايندگان مجلس شوراي اسلامي
9,204,10,اعلام ختم جلسه و تاريخ تشكيل جلسه آينده
10,300,1,اعلام رسميت جلسه و قرائت دستور
11,300,2,تلاوت آياتي از قرآن مجيد
12,300,3,بيانات رئيس محترم مجلس شوراي اسلامي به‌مناسبت شهادت امام هادي (عليه‌السلام) و حلول ماه پر فضيلت رجب
13,300,4,تصويب اصلاحات كميسيون درخصوص لايحه بودجه سال 1398 كل كشور (جهت تأمين نظر شوراي نگهبان)
14,300,5,انتخاب آقاي محمدمهدي افتخاري به عنوان ناظر در شوراي عالي هماهنگي ترافيك شهرهاي كشور
15,300,6,ادامه رسيدگي به طرح اصلاح موادي از قانون انتخابات مجلس شوراي اسلامي
16,300,7,ناطقان جلسه آقايان: علي قرباني، شهرام كوسه‌غراوي، احمد همتي، يحيي كمالي‌پور و سيدتقي كبيري
17,300,8,تذكرات كتبي نمايندگان به مسئولان اجرايي كشور
18,300,9,تذكرات شفاهي نمايندگان مجلس شوراي اسلامي
19,300,10,اعلام ختم جلسه و تاريخ تشكيل جلسه آينده
20,302,1,اعلام رسميت جلسه و قرائت دستور
21,302,2,تلاوت آياتي از قرآن مجيد
22,302,3,ادامه رسيدگي به طرح اصلاح موادي از قانون انتخابات مجلس شوراي اسلامي
23,302,4,تصويب طرح استفساريه جزء (6) بند «ث» ماده (88) قانون برنامه پنجساله ششم توسعه اقتصادي،‌ اجتماعي و فرهنگي جمهوري اسلامي ايران
24,302,5,بررسي لايحه تمديد مدت اجراي آزمايشي قانون ارتقاي سلامت نظام اداري و مقابله با فساد
25,302,6,اعلام وصول (1) فقره لايحه
26,302,7,تصويب اصلاحات كميسيون درخصوص لايحه بودجه سال 1398 كل كشور (جهت تأمين نظر شوراي نگهبان) و ارجاع بخشهايي از آن به مجمع تشخيص مصلحت نظام
27,302,8,قرائت بيانيه نمايندگان مجلس شوراي اسلامي درخصوص قدرداني از مقام معظم رهبري (مدظله‌العالي) جهت انتصاب آيت‌الله رئيسي به عنوان رياست قوه قضائيه
28,302,9,ناطقان جلسه آقايان: علي گلمرادي، حمدالله كريمي، عباس گودرزي، بيت‌اله عبدالهي و خانم سيده‌فاطمه ذوالقدر
29,302,10,اعلام وصول (3) فقره سؤال
30,302,11,گراميداشت روز شهدا توسط نايب‌رئيس مجلس شوراي اسلامي
31,302,12,تذكرات كتبي نمايندگان مجلس به مسئولان اجرايي كشور
32,302,13,اعلام ختم جلسه و تاريخ تشكيل جلسه آينده
33,303,1,اعلام رسميت جلسه و قرائت دستور
34,303,2,تلاوت آياتي از قرآن مجيد
35,303,3,تصويب لايحه تمديد مدت اجراي آزمايشي قانون ارتقاي سلامت نظام اداري و مقابله با فساد
36,303,4,تصويب لايحه دائمي شدن قانون مديريت خدمات كشوري
37,303,5,ادامه رسيدگي به طرح اصلاح موادي از قانون انتخابات مجلس شوراي اسلامي و ارجاع آن به كميسيون مربوطه
38,303,6,قرائت گزارش كميسيون كشاورزي، آب، منابع طبيعي و محيط‌زيست درمورد عدم اجراي قانون تضمين خريد محصولات اساسي كشاورزي و ارجاع آن به قوه قضائيه (در اجراي ماده 234 آيين‌نامه داخلي)
39,303,7,انتخاب آقايان: اصغر مسعودي و عليرضا سليمي به عنوان عضو شوراي تخصصي توسعه فرهنگ قرآني
40,303,8,ناطقان جلسه آقايان: روح‌الله حضرت‌پورطلاتپه، محسن علي‌جاني‌زماني، ابوالفضل حسن‌بيكي، علي اكبري و صديف بدري
41,303,9,تبريك رئيس محترم مجلس شوراي اسلامي به مناسبت ميلاد امام جواد (عليه‌السلام) و فرارسيدن سال جديد، تشكر از ملت و دولت عراق در استقبال از رئيس‌جمهور و تسليت به مناسبت حادثه تروريستي نيوزيلند
42,303,10,قرائت بيانيه نمايندگان مجلس شوراي اسلامي مبني‌بر محكوميت جنايت وحشيانه تروريستي در نيوزيلند
43,303,11,اعلام وصول (4) فقره سؤال
44,303,12,تذكرات كتبي نمايندگان مجلس به مسئولان اجرايي كشور
45,303,13,تذكرات شفاهي نمايندگان مجلس شوراي اسلامي
46,303,14,اعلام ختم جلسه و تاريخ تشكيل جلسه آينده
47,304,1,اعلام رسميت جلسه و قرائت دستور
48,304,2,تلاوت آياتي از قرآن مجيد
49,304,3,بيانات نايب‌رئيس محترم مجلس شوراي اسلامي به‌مناسبت فرارسيدن سال جديد و حادثه سيل و مشكلات ناشي از آن در مناطق سيل‌زده
50,304,4,تصويب اصلاحات كميسيون درخصوص طرح حداكثر استفاده از توان توليدي و خدماتي كشور و حمايت از كالاي ايراني (جهت تأمين نظر شوراي نگهبان)
51,304,5,تصويب اصلاحات كميسيون درخصوص لايحه حفاظت از خاك (جهت تأمين نظر شوراي نگهبان)
52,304,6,ناطقان جلسه آقايان: محمد خدابخشي، احد آزادي‌خواه، يحيي كمالي‌پور، قرجه طيار و مهرداد لاهوتي
53,304,7,گزارش تعدادي از نمايندگان استان‌هاي سيل‌زده درمورد وضعيت و مشكلات مناطق سيل‌زده و علل وقوع سيل
54,304,8,قرائت بيانيه نمايندگان مجلس شوراي اسلامي درخصوص تسليت به بازماندگان حادثه سيل و قدرداني از اقدامات دستگاه‌هاي اجرايي
55,304,9,قرائت بيانيه نمايندگان مجلس شوراي اسلامي درخصوص اعلام آمادگي جهت اقدام متقابل عليه آمريكا در حمايت از سپاه پاسداران انقلاب اسلامي
56,305,1,اعلام رسميت جلسه و قرائت دستور
57,305,2,تلاوت آياتي از قرآن مجيد
58,305,3,تصويب اصلاحات كميسيون درخصوص لايحه نحوه استفاده، نگهداري و نظارت بر پايانه فروشگاهي (صندوق مكانيزه فروش)، (جهت تأمين‌نظر شوراي نگهبان)
59,305,4,تصويب تقاضاي تحقيق و تفحص از عملكرد سازمان خصوصي‌سازي
60,305,5,تصويب كليات طرح اصلاح بند (5) ماده (6) قانون اجراي سياست‌هاي كلي اصل (44) قانون اساسي با اصلاحات و الحاقات بعدي آن و بحث و بررسي درخصوص موادي از آن
61,305,6,ناطقان جلسه آقايان: شمس‌الله شريعت‌نژاد، حسن سليماني، حسين نيازآذري، عباسعلي پوربافراني و شهاب نادري
62,305,7,انتخاب آقاي شهاب نادري به عنوان عضو ناظر بر اجراي ماده (37) قانون ماليات بر ارزش افزوده
63,305,8,تذكرات كتبي نمايندگان به مسئولان اجرايي كشور
64,305,9,تذكرات شفاهي نمايندگان مجلس شوراي اسلامي
65,305,10,اعلام وصول (2) فقره سؤال
66,305,11,اعلام ختم جلسه و تاريخ تشكيل جلسه آينده
67,306,1,اعلام رسميت جلسه و قرائت دستور
68,306,2,تلاوت آياتي از قرآن مجيد
69,306,3,بيانات رئيس محترم مجلس شوراي اسلامي به مناسبت ميلاد باسعادت حضرت امام حسين (عليه‌السلام) و روز پاسدار و محكوميت رفتار ننگين رژيم آمريكا در قراردادن نام سپاه پاسداران انقلاب اسلامي در فهرست گروه‌هاي تروريستي
70,306,4,بيانات نمايندگان فراكسيون‌هاي مجلس شوراي اسلامي درخصوص اقدام ننگين رژيم آمريكا در قراردادن نام سپاه پاسداران انقلاب اسلامي در فهرست گروه‌هاي تروريستي
71,306,5,تصويب طرح اصلاح بند (5) ماده (6) قانون اجراي سياست‌هاي كلي اصل (44) قانون اساسي با اصلاحات و الحاقات بعدي آن
72,306,6,تصويب تقاضاي تحقيق و تفحص از نحوه واگذاري شركت ماشين‌سازي تبريز و املاك مربوطه و همچنين شركت آذرچليك توسط سازمان خصوصي‌سازي
73,306,7,ادامه رسيدگي به طرح اصلاح موادي از قانون انتخابات مجلس شوراي اسلامي
